Country Name,Country Code,Population_2012,Population_2017,Population_2018,Pop_Growth_2012,Pop_Growth_GDP_2017,Pop_Growth_GDP_2018,GDP_Capita_2012,GDP_Capita_2017,GDP_Capita_2018,GDP_Capita_Growth_2012,GDP_Capita_Growth_2017,GDP_Capita_Growth_2018,GDP_2012,GDP_2017,GDP_2018,GDP_Growth_2012,GDP_Growth_2017,GDP_Growth_2018,Corruption Perception Index,Region,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Arable (%),Crops (%),Other (%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service
Nigeria,NGA,167228767,190873311,195874740,2.680913555,2.607676386,2.586545852,2746.991789,1968.559588,2028.18197,1.472867464,-1.788826785,-0.665579082,4.59376E+11,3.75745E+11,3.9727E+11,4.230061175,0.80588662,1.937268068,27,SUB-SAHARAN AFRICA,131859731,923768,1427,9,26,988,900,680,93,3129,296,6575,15,4043,1694,269,487,244
Nicaragua,NIC,5982526,6384855,6465513,1.337558375,1.274855157,1.255357967,1760.46057,2168.19124,2028.896891,5.081172629,3.349484869,-5.015619975,10532001130,13843586680,13117859222,6.496136543,4.675475377,-3.815710169,26,LATIN AMER. & CARIB,5570129,129494,430,70,-122,2911,2300,675,397,1594,194,8212,2,2451,445,165,275,56
Netherlands,NLD,16754962,17131296,17231017,0.370055035,0.591203366,0.580410754,50073.00566,48554.99228,53024.05921,-1.395919341,2.304284789,2.003691765,8.38971E+11,8.3181E+11,9.13658E+11,-1.030353997,2.91090257,2.597453623,82,WESTERN EUROPE,16491461,41526,3971,109,291,504,28600,990,4608,2671,97,7232,3,109,868,21,244,736
Norway,NOR,5018573,5276968,5314336,1.313440989,0.807673182,0.705638419,101668.1707,75704.2487,81807.19804,1.381260571,1.160086441,0.73270718,5.10229E+11,3.99489E+11,4.34751E+11,2.721626792,1.980437749,1.446029641,85,WESTERN EUROPE,4610820,323802,142,777,174,37,37800,1000,4617,287,0,9713,3,1146,94,21,415,564
Nepal,NPL,26989862,27627124,28087871,-0.190907924,1.333612899,1.653980239,698.4664794,900.5739036,1025.798356,4.98141892,6.476249851,4.546209269,18851513891,24880266905,28812491892,4.781192258,7.90574161,6.289762173,31,ASIA (EX. NEAR EAST),28287147,147181,1922,0,0,6698,1400,452,159,2168,64,7768,,3098,931,38,21,41
New Zealand,NZL,4408100,4793900,4885500,0.548220797,2.122962382,1.892735802,39970.44004,42260.12518,41966.00918,1.667074876,0.962158641,0.853999628,1.76194E+11,2.02591E+11,2.05025E+11,2.225965502,3.128460818,2.781079118,89,OCEANIA,4076140,268680,152,563,405,585,21600,990,4417,56,699,8741,3,1376,753,43,273,684
Oman,OMN,3498029,4665935,4829483,7.32038057,4.083954207,3.445117966,21923.54802,15170.35174,16418.92693,1.615034131,-4.892598502,-1.333278851,76689206762,70783875163,79294928479,9.332675576,-0.928051651,2.125137289,44,NEAR EAST,3102229,212460,146,98,28,1951,13100,758,855,0,14,9974,1,3624,381,27,39,583
Pakistan,PAK,187281475,207896686,212215030,2.126711756,2.074997082,2.05587987,1198.109001,1466.843096,1472.893134,1.328979726,3.529935155,3.284625257,2.24384E+11,3.04952E+11,3.1257E+11,3.50703342,5.700621241,5.430010786,32,ASIA (EX. NEAR EAST),165803560,803940,2062,13,-277,7244,2100,457,318,2787,87,7126,1,2974,823,216,251,533
Panama,PAN,3770624,4106771,4176873,1.715705644,1.7115912,1.69258055,10722.28363,15166.12443,15575.07255,7.911486596,3.533900797,1.936964073,40429700000,62283800000,65055100000,9.778903946,5.321230184,3.677013629,37,LATIN AMER. & CARIB,3191319,78200,408,318,-91,2047,6300,926,1379,736,198,9066,2,2174,536,68,156,776
Peru,PER,29506788,31444297,31989256,0.825138039,1.661934247,1.718246517,6528.972218,6700.81138,6947.256627,5.267528821,0.829368602,2.205190229,1.92649E+11,2.10702E+11,2.22238E+11,6.139724706,2.519088535,3.976501519,37,LATIN AMER. & CARIB,28302603,1285220,220,19,-105,3194,5100,909,795,289,4,9671,15,2048,623,8,27,65
Philippines,PHL,97212638,105173264,106651922,1.704126853,1.445492801,1.39613428,2572.629425,2981.934151,3102.713363,4.881194404,5.146628571,4.770738946,2.50092E+11,3.1362E+11,3.3091E+11,6.683818881,6.677553566,6.243737742,34,ASIA (EX. NEAR EAST),89468677,300000,2982,1210,-15,2351,4600,926,384,1895,1677,6428,2,2489,541,144,326,53
Papua New Guinea,PNG,7631002,8438029,8606316,2.102969323,1.990144672,1.974760178,2790.699587,2640.153572,2722.604679,2.470675416,-0.451189954,-1.536193585,21295834133,22277692409,23431596214,4.648420685,1.549820847,0.427556313,29,OCEANIA,5670544,462840,123,111,0,5145,2200,646,109,46,144,981,2,2936,725,353,381,266
Poland,POL,38063164,37974826,37978548,-0.000239076,0.012480099,0.00980075,13145.53926,13861.05156,15424.04603,1.608148506,4.801049453,5.139159148,5.00361E+11,5.26371E+11,5.85783E+11,1.607905585,4.814129544,5.149464079,60,EASTERN EUROPE,38536869,312685,1233,16,-49,851,11100,998,3063,4591,112,5297,3,985,989,5,311,64
Portugal,PRT,10514844,10300300,10281762,-0.405421788,-0.24388941,-0.180137491,20577.40264,21291.43099,23145.73496,-3.638376596,3.046036398,2.32877873,2.16368E+11,2.19308E+11,2.37979E+11,-4.028256748,2.795024248,2.144612162,63,WESTERN EUROPE,10605870,92391,1148,194,357,505,18000,933,3992,2175,781,7044,3,1072,105,53,274,673
Paraguay,PRY,6421512,6867062,6956071,1.372544496,1.307316991,1.287844517,5183.082877,5680.580768,5871.467064,-1.894340158,3.594847098,2.311690319,33283228891,39008900332,40842341774,-0.538512943,4.958051422,3.637826772,29,LATIN AMER. & CARIB,6506464,406750,160,0,-8,2563,4700,940,492,76,23,9217,2,291,449,224,207,569
Qatar,QAT,2196074,2724724,2781677,7.574748356,2.615829323,2.068684466,85076.14793,61264.39648,69026.4688,-2.949647859,-1.042852988,-0.645097948,1.86834E+11,1.66929E+11,1.92009E+11,4.687259177,1.579850253,1.431648077,63,NEAR EAST,885359,11437,774,492,1629,1861,21500,825,2320,164,27,9809,1,1556,472,2,801,197
Romania,ROU,20058035,19587491,19473936,-0.445177936,-0.584585617,-0.581419209,8535.046876,10792.95628,12301.1864,2.532603026,7.618681572,4.702669069,1.71196E+11,2.11407E+11,2.39553E+11,2.077165007,6.991393543,4.095673942,48,EASTERN EUROPE,22303552,237500,939,9,-13,2643,7000,984,1969,4082,225,5693,3,107,1177,101,35,549
Russian Federation,RUS,143201676,144496740,144478050,0.168301591,0.106871954,-0.012935384,15434.57478,10750.58712,11288.87244,3.525674995,1.515174583,2.261780504,2.21026E+12,1.57862E+12,1.65755E+12,3.700057055,1.630195944,2.254840053,29,C.W. OF IND. STATES,142893540,17075200,84,22,102,1539,8900,996,2806,733,11,9256,,995,1465,54,371,575
Rwanda,RWA,10549678,11980937,12301939,2.459912832,2.63966475,2.644008891,695.2740829,762.4991636,772.9678384,6.176092273,3.294886797,5.836046857,7334917697,9135454442,9509003197,8.820321117,6.057831319,8.671683394,55,SUB-SAHARAN AFRICA,8648248,26338,3284,0,0,9123,1300,704,27,4054,1216,473,3,4037,1609,401,229,37
Saudi Arabia,SAU,29155187,33099147,33699947,3.091355922,2.003600072,1.7988753,25243.3587,20803.74257,23219.13048,2.20265505,-2.710481875,0.392688315,7.35975E+11,6.88586E+11,7.82483E+11,5.411444902,-0.741529927,2.214968724,49,NEAR EAST,27019731,1960582,138,13,-271,1324,11800,788,1406,167,9,9824,1,2934,258,33,613,354
Sudan,SDN,36193783,40813396,41801533,2.359799549,2.395219858,2.392265265,1882.24677,3015.02443,977.2736357,11.8286972,1.814938773,-4.629843228,68125631150,1.23053E+11,40851536134,0.521559267,4.283071004,-2.320827321,16,SUB-SAHARAN AFRICA,41236378,2505810,165,3,-2,625,1900,611,163,683,18,9299,2,3453,897,387,203,41
Senegal,SEN,13401991,15419381,15854360,2.785660419,2.800658333,2.78193167,1330.057448,1367.218948,1521.953554,2.229589549,4.125502424,3.837062008,17825417949,21081669870,24129599552,5.117394238,7.082922291,6.766293824,45,SUB-SAHARAN AFRICA,11987121,196190,611,27,2,5551,1600,402,222,1278,21,8701,2,3278,942,172,209,619
Singapore,SGP,5312437,5612253,5638676,2.45339033,0.08859547,0.469704299,55546.48854,60297.79378,64581.94402,1.917945558,3.607948953,2.656150008,2.95087E+11,3.38406E+11,3.64157E+11,4.449315805,3.699781577,3.139464543,84,ASIA (EX. NEAR EAST),4492150,693,64822,2785,1153,229,23700,925,4114,164,0,9836,2,934,428,0,339,661
Solomon Islands,SLB,556064,636038,652858,2.650154869,2.6447309,2.610133776,1913.232022,2077.126038,2162.651804,1.820908522,0.832026448,0.72193521,1063879451,1321131091,1411904531,4.555394299,3.534339147,3.385522842,39,OCEANIA,552438,28450,194,1867,0,2129,1700,,134,64,2,9736,2,3001,392,42,11,47
Sierra Leone,SLE,6712581,7488431,7650154,2.249914334,2.154231955,2.136648208,566.3786569,499.3807078,522.8581284,12.6192137,1.990240068,1.535163598,3801862611,3739577973,3999945202,15.18176908,4.211182649,3.727955555,30,SUB-SAHARAN AFRICA,6005250,71740,837,56,0,14364,500,314,40,698,89,9213,2,4576,2303,49,31,21
El Salvador,SLV,6237923,6388122,6420744,0.439491727,0.501858163,0.509367036,3428.410386,3902.237622,4058.244652,2.363617759,1.795783983,2.016666951,21386160000,24927970000,26056950000,2.814487432,2.307938504,2.537631909,33,LATIN AMER. & CARIB,6822378,21040,3243,146,-374,251,4800,802,1424,3185,1207,5608,2,2661,578,99,302,599
Somalia,SOM,12715510,14589119,15008154,2.703899313,2.80476949,2.831767652,,309.066059,314.5623635,,,,,4509001513,4721000393,,,,9,SUB-SAHARAN AFRICA,8863338,637657,139,47,537,1167,500,378,113,167,4,9829,1,4513,1663,65,1,25
Serbia,SRB,7199077,7020858,6982084,-0.485299545,-0.532191341,-0.553799324,6015.945228,6284.192672,7233.995874,-0.198378662,2.593855846,4.881012702,43309252921,44120424392,50508366850,-0.681542133,2.049310525,4.301787715,41,EASTERN EUROPE,9396411,88361,1063,0,-133,1289,2200,930,2858,3335,32,6345,,,,166,255,579
Suriname,SUR,541245,570496,575991,1.127077102,0.987867648,0.958587769,9201.008785,5379.119415,5950.213947,1.539448592,0.687495235,1.024190548,4980000000,3068766110,3427269682,2.690350057,1.687083602,1.997252457,41,LATIN AMER. & CARIB,439117,163270,27,24,-881,2357,4000,930,1847,37,6,9957,2,1802,727,13,22,65
Slovak Republic,SVK,5407579,5439232,5447011,0.170183855,0.155178996,0.142914343,17274.6423,17579.2594,19546.9019,1.484291761,3.0283386,3.960369087,93413992956,95617670260,1.06472E+11,1.657148687,3.188341055,4.109049583,50,EASTERN EUROPE,5439448,48845,1114,0,3,741,13300,,2201,3016,262,6722,3,1065,945,35,294,672
Slovenia,SVN,2057159,2066388,2067372,0.210024306,0.065159039,0.04760799,22532.43564,23449.57452,26234.0229,-2.873785074,4.812220615,4.437488125,46352802766,48455919386,54235484383,-2.669582052,4.880537506,4.487220551,61,EASTERN EUROPE,2010347,20273,992,23,112,445,19000,997,4061,86,149,8991,,898,1031,28,369,603
Sweden,SWE,9519374,10057698,10183175,0.739763272,1.34744506,1.23985371,57197.19931,53253.47664,54111.97217,-1.033346003,0.738138803,1.097673526,5.44482E+11,5.35607E+11,5.51032E+11,-0.298512381,2.10471614,2.358939552,84,WESTERN EUROPE,9016596,449964,200,72,167,277,26800,990,7150,654,1,9345,3,1027,1031,11,282,707
Eswatini,SWZ,1079288,1124753,1136191,0.674565152,0.962067725,1.011798397,4469.457324,3941.900457,4139.961949,4.013907195,0.897666037,-0.3889351,4823831657,4433664364,4703787507,4.717920611,1.873054342,0.62404407,39,SUB-SAHARAN AFRICA,1136334,17363,655,0,0,6927,4900,816,308,1035,7,8895,25,2741,2974,119,515,366
Seychelles,SYC,88303,95843,96762,0.98098019,1.224033758,0.954291918,12006.68296,15683.6565,16433.93529,0.272336547,3.0631085,2.6431477,1060226126,1503168690,1590180446,1.260828834,4.332388099,3.627351583,60,SUB-SAHARAN AFRICA,81541,455,1792,10791,-569,1553,7800,580,2624,222,1333,8445,2,1603,629,32,304,665
Syrian Arab Republic,SYR,20442541,17068002,16906283,-3.084734319,-2.235952757,-0.952015452,,,,,,,,,,,,,14,NEAR EAST,18881361,185180,1020,10,0,2953,3300,769,1538,2522,443,7035,1,2776,481,249,23,519
Chad,TCD,12784750,15016773,15477751,3.370758938,3.077531708,3.023579699,967.408126,664.3033157,730.2446076,5.273573994,-5.928776623,-0.415664166,12368071039,9975692095,11302544205,8.882576072,-2.988695986,2.641330034,20,SUB-SAHARAN AFRICA,9944201,1284000,77,0,-11,9382,1200,475,13,286,2,9712,2,4573,1638,335,259,406
Togo,TGO,6773807,7698475,7889094,2.660849964,2.479318302,2.445904207,571.8394289,619.066371,671.8406876,3.745928899,1.891613072,2.349884065,3873529926,4765866980,5300214337,6.543507031,4.449407392,4.884130464,32,SUB-SAHARAN AFRICA,5548702,56785,977,10,0,6661,1500,609,106,4615,221,5164,2,3701,983,395,204,401
Thailand,THA,67835957,69209858,69428524,0.469250687,0.345238362,0.315448259,5860.58061,6578.188865,7273.563207,6.740727971,3.665573947,3.80126981,3.97558E+11,4.55276E+11,5.04993E+11,7.242786605,4.024085781,4.129226103,37,ASIA (EX. NEAR EAST),64631595,514000,1257,63,0,2048,7400,926,1089,2936,646,6418,2,1387,704,99,441,46
Tajikistan,TJK,7874835,8880268,9100837,2.277533217,2.470382009,2.453465059,969.2964731,806.0415731,826.6215305,5.065808826,4.991499098,4.699464341,7633049792,7157865188,7522947810,7.486175224,7.617492691,7.300000287,21,C.W. OF IND. STATES,7320815,143100,512,0,-286,11076,1000,994,335,661,92,9247,2,3265,825,234,286,48
Turkmenistan,TKM,5267900,5757669,5850908,1.796928924,1.66898196,1.606415757,6675.185658,6587.090316,6966.635411,9.121441808,4.737284874,4.507616162,35164210526,37926285714,40761142857,11.09999996,6.500000047,6.199999941,19,C.W. OF IND. STATES,5042920,488100,103,0,-86,7308,5800,980,746,372,14,9614,1,2761,86,209,38,411
Tunisia,TUN,10847002,11433443,11565204,0.973860812,1.139078899,1.145827766,4152.678587,3494.318864,3446.607238,2.989797034,0.671392797,1.337501842,45044112939,39952095561,39860715814,3.997674002,1.824675319,2.505332965,42,NORTHERN AFRICA,10175014,163610,622,70,-57,2477,6900,742,1236,1786,1374,684,3,1552,513,132,318,55
Turkey,TUR,74653016,81101892,82319724,1.632957935,1.591059209,1.490444868,11707.25971,10499.74557,9311.366117,3.092660285,5.745267658,1.049259888,8.73982E+11,8.51549E+11,7.66509E+11,4.789940281,7.441193291,2.566623037,40,NEAR EAST,70413958,780580,902,92,0,4104,6700,865,2695,3093,331,6576,3,1662,597,117,298,585
Tanzania,TZA,47052481,54663906,56318348,2.97488817,2.995388132,2.981674115,867.8676806,1004.841121,1050.675254,1.442555391,3.640010881,2.11505516,39650530214,53320625959,57437073927,4.50015356,6.785680114,5.2,36,SUB-SAHARAN AFRICA,37445392,945087,396,15,-206,9854,600,782,40,452,108,944,,3771,1639,432,172,396
Uganda,UGA,34559168,41162465,42723139,3.181665327,3.749875169,3.7213873,668.832462,631.5227198,643.1396702,0.585699589,0.040409572,2.214677203,23114293416,25995031850,27476945526,3.837455606,3.863023757,6.090144553,26,SUB-SAHARAN AFRICA,28195754,236040,1195,0,0,6783,1400,699,36,2588,1065,6347,2,4735,1224,311,222,469
Ukraine,UKR,45593300,44831135,44622516,-0.24709923,-0.386283095,-0.466430103,3855.42128,2640.675677,3095.173581,0.486676587,2.917123364,3.862732572,1.75781E+11,1.1219E+11,1.30832E+11,0.238681306,2.466053452,3.335489309,30,C.W. OF IND. STATES,46710816,603700,774,46,-39,2034,5400,997,2599,5621,161,4218,3,882,1439,187,452,361
Uruguay,URY,3378974,3436646,3449299,0.297573927,0.364798683,0.367502623,15171.58466,16437.24487,17277.97011,3.230534045,2.217768639,1.247312548,51264390116,56488991831,59596885024,3.538178707,2.591338687,1.620083629,70,LATIN AMER. & CARIB,3431932,176220,195,37,-32,1195,12800,980,2914,743,23,9234,3,1391,905,93,311,596
United States,USA,313874218,325147121,327167434,0.733617007,0.6404588,0.619431053,51603.49726,59927.92983,62641.01457,1.502170582,1.564444431,2.22182891,1.6197E+13,1.94854E+13,2.04941E+13,2.249545852,2.21701033,2.856987816,75,NORTHERN AMERICA,298444215,9631420,310,21,341,65,37800,970,8980,1913,22,8065,3,1414,826,1,204,787
Uzbekistan,UZB,29774500,32388600,32955400,1.472099988,1.683506325,1.734862316,1740.468298,1826.56704,1532.371639,6.598901709,2.717730088,3.324803918,51821573338,59159949231,50499920318,8.179751424,4.461627697,5.132986392,22,C.W. OF IND. STATES,27307134,447400,610,0,-172,711,1700,993,629,1083,83,8834,1,2636,784,342,229,43
St. Vincent and the Grenadines,VCT,108435,109827,110210,0.109803426,0.335635057,0.348123622,6390.314389,7149.630866,7377.678832,1.271160135,0.521992347,2.200493075,692933740.7,785222509.1,813093984.1,1.382420411,0.859946222,2.556897137,58,LATIN AMER. & CARIB,117848,389,3030,2159,-764,1478,2900,960,1909,1795,1795,641,2,1618,598,1,26,64
"Venezuela, RB",VEN,29362449,29390409,28870195,1.627755571,-1.538842831,-1.785864856,12985.50533,,,3.920542223,,,3.81286E+11,,,5.625956975,,,18,LATIN AMER. & CARIB,25730435,912050,282,31,-4,222,4800,934,1401,295,92,9613,2,1871,492,4,419,541
Vietnam,VNM,89802487,94596642,95540395,1.042047722,1.017796272,0.992716375,1735.141276,2365.621666,2563.820731,4.156333781,5.730628273,6.018088398,1.5582E+11,2.2378E+11,2.44948E+11,5.247367156,6.81224566,7.075788617,35,ASIA (EX. NEAR EAST),84402966,329560,2561,105,-45,2595,2500,903,1877,1997,595,7408,2,1686,622,209,41,381
Vanuatu,VUT,249499,285510,292680,2.782246791,2.546959469,2.480280726,3133.090209,2976.107116,3033.408146,-1.037297408,1.872699202,0.671832718,781702874.1,849708342.7,887817896.3,1.754749927,4.500680305,3.2,43,OCEANIA,208869,12200,171,2072,0,5516,2900,530,326,246,738,9016,2,2272,782,26,12,62
"Yemen, Rep.",YEM,24473178,27834821,28498687,2.757338894,2.424025108,2.357022518,1446.53628,963.494721,944.4084994,-0.391762566,-8.194889566,-4.968006747,35401339869,26818703093,26914402224,2.392990209,-5.942319504,-2.701474865,16,NEAR EAST,21456188,527970,406,36,0,615,800,502,372,278,24,9698,1,4289,83,135,472,393
South Africa,ZAF,52834005,57000451,57779622,1.583107137,1.40774075,1.357697288,7501.40728,6127.462297,6374.015446,0.607949069,-0.003138954,-0.572080197,3.96329E+11,3.49268E+11,3.68288E+11,2.213354808,1.414512626,0.78705557,43,SUB-SAHARAN AFRICA,44187637,1219912,362,23,-29,6181,10700,864,1070,1208,79,8713,1,182,22,25,303,671
Zambia,ZMB,14465121,16853688,17351822,3.102770166,2.951583275,2.912801004,1763.094184,1534.865371,1539.900158,4.310371762,0.395739931,0.815169499,25503370699,25868142077,26720073436,7.597616969,3.403168851,3.794900917,37,SUB-SAHARAN AFRICA,11502010,752614,153,0,0,8829,800,806,82,708,3,929,2,41,1993,22,29,489
Zimbabwe,ZWE,13115131,14236745,14439018,1.698000772,1.460060709,1.410782722,1304.969802,1602.403507,2146.996385,14.70117262,3.186399034,4.672029259,17114849900,22813010116,31000519447,16.66542877,4.704035348,6.159189798,22,SUB-SAHARAN AFRICA,12236805,390580,313,0,0,6769,1900,907,268,832,34,9134,2,2801,2184,179,243,579
